Scheme Code,Scheme Name
103490,Quantum Long Term Equity Value Fund - Direct Plan Growth Option
103734,Quantum Liquid Fund - Direct Plan Growth Option
111549,Quantum Tax Saving Fund - Direct Plan Growth Option
112039,Quantum Equity Fund of Funds - Direct Plan Growth Option
115132,Quantum Gold Savings Fund - Direct Plan Growth Option
116811,IDBI Dynamic Bond Fund Growth Direct
117608,Quantum Multi Asset Fund - Direct Plan Growth Option
118266,Canara Robeco Nifty Index-Direct Plan - Growth
118267,Canara Robeco Infrastructure-Direct Plan - Growth
118269,Canara Robeco Large Cap+ Fund - Direct Plan - Growth
118272,Canara Robeco Balance - Direct Plan - Growth
118273,Canara Robeco F.O.R.C.E Fund - Direct Plan - Growth
118275,Canara Robeco Equity Diversified-Direct Plan -Growth Option
118278,Canara Robeco Emerging Equities-Direct Plan-Growth Option
118282,Canara Robeco Income-Direct Plan - Growth Option
118284,Canara Robeco Dynamic Bond Fund - Direct Plan - Growth
118285,Canara Robeco Equity Taxsaver - Direct Plan - Growth Option
118291,Canara Robeco Savings Plus Fund-Direct Plan - Growth Option
118297,Canara Robeco Gilt Advantage Fund - Direct Plan - Growth Option
118299,Canara Robeco Gilt PGS-Direct Plan - Growth option
118301,Canara Robeco Gold Savings Fund - Direct Plan - Growth Option
118302,Canara Robeco InDiGo Fund - Direct Plan - Growth
118305,Canara Robeco Liquid- Direct Plan-Growth
118309,Canara Robeco Monthly Income Plan-Direct Plan - Growth Option
118312,Canara Robeco Short Term Fund- Direct Plan - Growth
118317,Canara Robeco Treasury Advantage Fund - Direct Plan- Growth option
118320,Canara Robeco Yield Advantage Fund - Direct Plan - Growth
118341,IDBI Gilt Fund Growth Direct
118344,IDBI India Top 100 Equity Fund Growth Direct
118345,IDBI Liquid Fund Growth Direct
118347,IDBI NIFTY Index Fund Growth Direct
118348,IDBI Nifty Junior Index Fund Growth Direct
118349,IDBI Short Term Bond Fund Growth Direct
118350,IDBI UST Growth Direct
118364,IDFC Cash Fund -Direct Plan -Growth
118371,IDFC  Ultra Short Term Fund-Direct Plan-Growth
118379,IDFC Money Manager Fund - Investment Plan-Direct Plan-Growth
118384,IDFC Money Manager Fund - Treasury Plan -Direct Plan-Growth
118387,IDFC Government Securities Fund - Short Term -Direct Plan-Growth
118394,IDFC Bond Fund - Long Term Plan - Direct Plan-Growth
118401,IDFC Bond Fund - Medium Term Plan-Direct Plan-Growth
118407,IDFC   Super Saver Income Fund - Short Term-Direct Plan-Growth
118410,IDFC   All Seasons Bond Fund-Direct Plan-Growth
118416,IDFC  Dynamic Bond Fund-Direct Plan-Growth
118419,IDFC Classic Equity Fund-Direct Plan-Growth
118421,IDFC Focused Equity Fund-Direct Plan-Growth
118424,IDFC Premier Equity Fund-Direct Plan-Growth
118426,IDFC  50-50 Strategic Sector Fund-Direct Plan-Growth
118427,Indiabulls Gilt Fund - Direct Plan -  Growth Option
118452,IDBI Equity Savings Fund Growth Option Direct
118464,IDFC  Government Securities Fund-  Investment Plan-Direct Plan-Growth
118469,IDFC  Infrastructure Fund-Direct Plan-Growth
118470,IDFC  India GDP Growth Fund-Direct Plan-Dividend
118471,IDFC  India GDP Growth Fund-Direct Plan-Growth
118473,IDFC Tax Advantage  (ELSS) Fund-Direct Plan-Growth
118474,IDFC  Arbitrage Fund-Direct Plan- Growth
118477,IDFC Equity Savings Fund-Direct Plan-Growth
118479,IDFC Equity Fund-Direct Plan-Growth
118481,IDFC Sterling Equity Fund-Direct Plan-Growth
118482,IDFC Nifty Fund-Direct Plan-Growth
118485,IDFC  Asset Allocation Fund Of Fund-Aggressive Plan-Direct Plan-Growth
118486,IDFC  Asset Allocation Fund Of Fund-Conservative Plan-Direct Plan-Growth
118491,IDFC  Monthly Income Plan-Direct Plan-Growth
118493,Templeton India Growth Fund-Direct - Dividend
118494,Templeton India Growth Fund - Direct - Growth
118495,Franklin India Dynamic Accrual Fund - Direct - Growth
118498,Franklin India GOVERNMENT SECURITIES FUND - Long Term Plan - Direct - Growth
118499,Franklin India GOVERNMENT SECURITIES FUND TREASURY PLAN - Direct - Growth
118502,Franklin India GOVERNMENT SECURITIES FUND - Composite Plan - Direct - Growth
118504,Franklin India GOVERNMENT SECURITIES FUND PF PLAN - Direct - Growth
118506,Franklin India Savings Plus Fund - Direct - Growth
118508,Franklin India Cash Management Account - Direct - Growth
118510,Franklin India FLEXI CAP FUND - Direct - Growth
118512,Franklin INDIA LIFE STAGE FUND OF FUNDS - THE 20S PLAN - Direct - Growth
118514,Franklin India Life Stage Fund of Funds - The 30s Plan - Direct - Growth
118516,Franklin India Life Stage Fund of Funds - The 40s Plan - Direct - Growth
118518,Franklin India Life Stage Fund of Funds - The 50s Plus - Direct - Growth
118519,Franklin India Life Stage Fund Of Funds - The 50S Plus Floating Rate Plan - Direct - Growth
118521,Templeton India CHILDREN's ASSET PLAN EDUCATION - Direct - Growth
118523,Templeton India CHILDREN's ASSET PLAN GIFT - Direct - Growth
118525,Franklin India Smaller Companies Fund - Direct - Growth
118527,Templeton India EQUITY INCOME FUND - Direct - Growth
118530,Franklin India Low Duration Fund - Direct - Growth
118531,Franklin India Bluechip Fund- Direct - Growth
118533,Franklin India PRIMA FUND - Direct - Growth
118535,Franklin India PRIMA PLUS - Direct - Growth
118537,Franklin India Technology Fund - Direct - Growth
118539,Franklin INDIA OPPORTUNITIES FUND - Direct - Growth
118540,Franklin India TAXSHIELD - Direct - Growth
118543,Franklin India Dynamic PE Ratio Fund Of Funds - Direct - Growth
118545,Franklin India INDEX FUND BSE PLAN - Direct - Growth
118546,Franklin India BALANCED FUND - Direct - Growth
118548,Franklin India  PENSION PLAN - Direct - Growth
118551,Franklin India Feeder - Franklin US Opportunities Fund - Direct - Growth
118553,Franklin India Corporate Bond Opportunities Fund - Direct - Growth
118554,Franklin India Income Opportunities Fund - Direct - Growth
118557,Franklin Build India Fund - Direct - Growth
118559,Franklin Asian Equity Fund - Direct - Growth
118560,Franklin India Ultra Short Bond Fund - Super Institutional Plan - Direct - Growth
118563,Franklin India High Growth Companies Fund - Direct - Dividend
118564,Franklin India High Growth Companies Fund - Direct - Growth
118565,Franklin India SHORT TERM INCOME PLAN - Direct - GROWTH
118569,Franklin India INCOME BUILDER ACCOUNT - Direct - GROWTH
118574,Franklin India MONTHLY INCOME PLAN - Direct - GROWTH
118577,Franklin India TREASURY MANAGEMENT ACCOUNT - Super Instittutional - Direct - Growth
118581,Franklin India INDEX FUND NIFTY PLAN - Direct - Growth
118583,Reliance Quarterly Interval Fund - Series III - Direct Plan Growth Plan - Growth
118585,Reliance Arbitrage Fund - Direct Plan Growth Plan - Growth Option
118588,Reliance Banking Fund - Direct Plan Growth Plan - Bonus Option
118589,Reliance Banking Fund - Direct Plan Growth Plan - Growth Option
118595,Reliance Monthly Interval Fund - Series II - Direct Plan Growth Plan - Growth
118598,Reliance Monthly Interval Fund - Series I - Direct Plan Growth Plan - Growth
118601,Goldman Sachs India Equity Fund - Direct Plan -Growth Option
118604,Goldman Sachs Short Term Fund - Direct Plan - Growth Option
118606,Goldman Sachs CNX 500 Fund - Direct Plan - Growth Option
118610,Reliance Liquid Fund - Cash Plan - Direct Plan - Growth Plan - Growth Option
118615,Edelweiss Balanced Advantage Fund -Direct Plan-Growth Option
118617,Edelweiss Large Cap Fund - Direct Plan-Growth option
118620,Edelweiss Long Term Equity Fund (Tax Savings) - Direct Plan-Growth Option
